DTE1,DTE2,Count,Average,pDelta
35,28,705,0.00189421,-0.534976
60,37,1,0.00189177,-0.91322
14,10,1131,0.00189013,-0.48329
360,340,80,0.00188949,-0.446996
19,14,229,0.00188902,-0.657102
717,682,74,0.00188824,-0.603188
135,92,127,0.0018881,-0.684972
18,5,7,0.00188739,-0.734979
45,39,112,0.00188728,-0.60746
177,149,97,0.00188679,-0.586842
346,304,46,0.00188646,-0.885197
358,315,13,0.00188275,-0.974678
360,330,81,0.00188074,-0.442582
24,2,128,0.00187342,-0.664543
109,105,36,0.00187341,-0.418475
717,697,74,0.00187144,-0.603188
25,21,191,0.0018703,-0.360172
40,33,14,0.00186984,-0.508117
177,162,97,0.00186951,-0.586842
442,434,1,0.00186937,-1
381,360,97,0.00186933,-0.709646
10,4,586,0.00186862,-0.481444
268,240,91,0.00186601,-0.556215
10,6,748,0.00186498,-0.475917
135,98,127,0.00186375,-0.684972
101,83,1,0.0018617,-0.83701
135,93,127,0.00186165,-0.684972
163,142,102,0.00186126,-0.687065
76,43,1,0.00185852,-0.85602
525,520,2,0.00185817,-0.91405
24,9,131,0.0018574,-0.671946
74,64,33,0.00185705,-0.866467
533,525,1,0.00185586,-1
436,433,58,0.00185158,-0.57729
92,86,1,0.00185145,-0.90752
346,309,46,0.00184736,-0.885197
179,165,14,0.001845,-0.970714
254,232,73,0.00184329,-0.620796
358,338,13,0.00184307,-0.974678
268,253,91,0.00184233,-0.556215
72,38,127,0.00183818,-0.65441
442,429,1,0.00183784,-1
367,364,52,0.00183648,-0.759513
367,346,52,0.00183462,-0.759513
436,401,61,0.0018345,-0.550883
76,58,1,0.00183442,-0.85602
358,346,13,0.00183408,-0.974678
45,27,2,0.00183231,-0.95417
72,44,126,0.00183202,-0.659589
367,361,52,0.00183168,-0.759513
80,69,3,0.00182822,-0.90995
163,140,113,0.00182745,-0.622331
57,49,4,0.00182734,-1
409,399,1,0.00182727,-1
346,305,46,0.0018269,-0.885197
408,406,1,0.00182609,-0.87515
177,143,97,0.00182599,-0.586842
101,91,5,0.00182377,-0.943442
100,84,95,0.00182221,-0.481526
436,407,61,0.00182182,-0.550883
409,395,1,0.00182143,-1
254,220,73,0.00182127,-0.620796
97,91,1,0.00181858,-0.88884
745,737,52,0.00181634,-0.679351
346,319,46,0.00181561,-0.885197
360,339,80,0.00181516,-0.446996
31,13,124,0.00181476,-0.600384
367,352,52,0.00181464,-0.759513
351,343,1,0.00181306,-1
163,146,102,0.0018108,-0.687065
88,85,43,0.00180808,-0.437751
745,714,64,0.00180777,-0.570742
63,45,3,0.00180701,-0.893993
715,702,1,0.00180596,-1
533,520,1,0.00180596,-1
381,347,97,0.00180562,-0.709646
45,28,119,0.00180248,-0.599797
561,554,1,0.0018018,-1
442,435,1,0.0018018,-1
715,708,1,0.0018018,-1
533,526,1,0.0018018,-1
268,234,91,0.00180149,-0.556215
17,7,307,0.00180054,-0.583745
436,415,61,0.00180051,-0.550883
135,94,127,0.00179887,-0.684972
